Connections ID, Vehicle ID, Time Stamp, Current Open Connections
,,13.4,
,,14.4,
,,15.4,
,,16.4,
,,17.4,
,,18.4,
,,19.4,
,,20.4,
,,21.4,
,,22.4,
,,23.4,
,,24.4,
,,25.4,
,,26.4,
,,27.4,
,,28.4,
,,29.4,
,,30.4,
,,31.4,
,,32.4,
,,33.4,
,,34.4,3854
69,3760,1.4,
,,2.4,
,,3.4,
,,4.4,
,,5.4,
,,6.4,
,,7.4,
,,8.4,
,,9.4,
,,10.4,
,,11.4,
,,12.4,
,,13.4,
,,14.4,
,,15.4,
,,16.4,
,,17.4,
,,18.4,
,,19.4,
,,20.4,
,,21.4,
,,22.4,
,,23.4,
,,24.4,
,,25.4,
,,26.4,
,,27.4,
,,28.4,
,,29.4,
,,30.4,
,,31.4,
,,32.4,
,,33.4,
,,34.4,
70,3842,1.4,
,,2.4,
,,3.4,
,,4.4,
,,5.4,
,,6.4,
,,7.4,
,,8.4,
,,9.4,
,,10.4,
,,11.4,
,,12.4,
,,13.4,
,,14.4,
,,15.4,
,,16.4,
,,17.4,
,,18.4,
,,19.4,
,,20.4,
,,21.4,
,,22.4,
,,23.4,
,,24.4,
,,25.4,
,,26.4,
,,27.4,
,,28.4,
,,29.4,
,,30.4,
,,31.4,
,,32.4,
,,33.4,
,,34.4,
71,3781,1.4,
,,2.4,
,,3.4,
,,4.4,
,,5.4,
,,6.4,
,,7.4,
,,8.4,
,,9.4,3857
,,10.4,3857
,,11.4,
,,12.4,
,,13.4,
,,14.4,
,,15.4,3857
,,16.4,3857
,,17.4,3857
,,18.4,
,,19.4,
,,20.4,
,,21.4,
,,22.4,
,,23.4,
,,24.4,
,,25.4,
,,26.4,
,,27.4,
,,28.4,
72,3828,1.4,
,,2.4,
,,3.4,
,,4.4,
,,5.4,
,,6.4,
,,7.4,
,,8.4,
,,9.4,
,,10.4,
,,11.4,
,,12.4,
,,13.4,
,,14.4,
,,15.4,
,,16.4,
,,17.4,
,,18.4,
,,19.4,
,,20.4,
,,21.4,
,,22.4,
,,23.4,
,,24.4,
,,25.4,
,,26.4,
,,27.4,
,,28.4,
,,29.4,
,,30.4,
,,31.4,
,,32.4,
,,33.4,
,,34.4,
73,3802,1.4,
,,2.4,
,,3.4,
,,4.4,
,,5.4,
,,6.4,
,,7.4,
,,8.4,
,,9.4,
,,10.4,
,,11.4,
,,12.4,
,,13.4,
,,14.4,
,,15.4,
,,16.4,
,,17.4,
,,18.4,
,,19.4,
,,20.4,
,,21.4,
,,22.4,
,,23.4,
,,24.4,
,,25.4,
,,26.4,
,,27.4,
,,28.4,
,,29.4,
,,30.4,
,,31.4,
,,32.4,
,,33.4,
,,34.4,
74,3833,1.4,
,,2.4,
,,3.4,
,,4.4,3788
,,5.4,
,,6.4,
,,7.4,
,,8.4,
,,9.4,
,,10.4,
,,11.4,
,,12.4,
,,13.4,
,,14.4,
,,15.4,
,,16.4,
,,17.4,
,,18.4,
,,19.4,
,,20.4,
,,21.4,
,,22.4,
,,23.4,
,,24.4,
,,25.4,
,,26.4,
,,27.4,
,,28.4,
,,29.4,
,,30.4,
,,31.4,
,,32.4,
,,33.4,
,,34.4,
75,3814,1.4,
,,2.4,
,,3.4,
,,4.4,
,,5.4,
,,6.4,
,,7.4,
,,8.4,
,,9.4,
,,10.4,
,,11.4,
,,12.4,
,,13.4,
,,14.4,
,,15.4,
,,16.4,
,,17.4,
,,18.4,
,,19.4,
,,20.4,
,,21.4,
,,22.4,
,,23.4,
,,24.4,
,,25.4,
,,26.4,
,,27.4,
,,28.4,
,,29.4,
,,30.4,
,,31.4,
,,32.4,
,,33.4,
,,34.4,
76,3778,1.4,
,,2.4,
,,3.4,
,,4.4,
,,5.4,
,,6.4,
,,7.4,
,,8.4,
,,9.4,
,,10.4,
,,11.4,
,,12.4,
,,13.4,
,,14.4,
,,15.4,
,,16.4,
,,17.4,
,,18.4,
,,19.4,
,,20.4,
,,21.4,
,,22.4,
,,23.4,
,,24.4,
,,25.4,
,,26.4,
,,27.4,
,,28.4,
,,29.4,
,,30.4,
,,31.4,
,,32.4,
,,33.4,
,,34.4,
77,3827,1.4,
,,2.4,
,,3.4,
,,4.4,
,,5.4,
,,6.4,
,,7.4,
,,8.4,
,,9.4,
,,10.4,
,,11.4,
,,12.4,
,,13.4,
,,14.4,
,,15.4,
,,16.4,
,,17.4,
,,18.4,
,,19.4,
,,20.4,
,,21.4,
,,22.4,3818
,,23.4,
,,24.4,
,,25.4,
,,26.4,
,,27.4,
,,28.4,
,,29.4,
,,30.4,
,,31.4,
,,32.4,
,,33.4,
