Trajectory ID,Vehicle ID,Time Stamp,Latitude,Longitude
,,29.4,44.23606169404705,-76.49943463821458
,,29.6,44.23606858875704,-76.49945177927985
,,29.8,44.236075723089115,-76.49946951607399
,,30.0,44.23608307749949,-76.49948780000884
,,30.2,44.23609063032205,-76.49950657721989
,,30.4,44.236098357756106,-76.49952578853576
,,30.6,44.23610623388892,-76.49954536953437
,,30.8,44.236114230754445,-76.49956525068879
,,31.0,44.23612231842855,-76.49958535760409
,,31.2,44.23613046516107,-76.4996056113456
,,31.4,44.236138637544926,-76.49962592885937
,,31.6,44.23614680072394,-76.49964622348881
,,31.8,44.23615491864252,-76.49966640559545
,,32.0,44.236162954342774,-76.4996863832976
,,32.2,44.23616611503974,-76.49969424116443
,,32.4,44.23616921880479,-76.49970195749181
,,32.6,44.23617232400758,-76.49970967739357
,,32.8,44.23617547130048,-76.4997175019363
,,33.0,44.23617869036181,-76.49972550490386
,,33.2,44.23618200351144,-76.49973374178606
,,33.4,44.23618542782697,-76.49974225503988
,,33.6,44.23618897646364,-76.49975107737075
,,33.8,44.23619265951731,-76.49976023387819
,,34.0,44.236196484609536,-76.4997697435103
,,34.2,44.236200457295325,-76.49977962007749
,,34.4,44.236204581353434,-76.49978987297419
,,34.6,44.23621356405698,-76.49979682078711
,,34.8,44.236218008650035,-76.49980783725903
,,35.0,44.23622279319136,-76.49981964639623
,,35.2,44.23622790147921,-76.49983225460005
,,35.4,44.23623332638649,-76.49984564427945
,,35.6,44.236239059609986,-76.49985979494058
39,QRDF80,0.2,44.23416807012208,-76.4984344391434
,,0.4,44.23416810088544,-76.49843343629715
,,0.6,44.23416816240675,-76.4984314307806
,,0.8,44.23416825467777,-76.4984284228631
,,1.0,44.234168377684895,-76.49842441298756
,,1.2,44.23416853140543,-76.49841940189394
,,1.4,44.23416871580244,-76.49841339078631
,,1.6,44.23416893081831,-76.4984063815427
,,1.8,44.23416917636706,-76.49839837696629
,,2.0,44.23416945232541,-76.49838938107554
,,2.2,44.23416975816604,-76.49837941106078
,,2.4,44.2341700935683,-76.49836847737429
,,2.6,44.23417045812811,-76.49835659318893
,,2.8,44.234170851346036,-76.49834377478541
,,3.0,44.23417127261621,-76.49833004191444
,,3.2,44.23417172121666,-76.49831541811116
,,3.4,44.234172196301905,-76.49829993093743
,,3.6,44.23417269689845,-76.49828361212782
,,3.8,44.234173221903944,-76.49826649761735
,,4.0,44.234173770090486,-76.49824862743445
,,4.2,44.23417434011227,-76.49823004545063
,,4.4,44.23417493051761,-76.49821079898855
,,4.6,44.234175539764934,-76.49819093830179
,,4.8,44.2341761662419,-76.49817051595066
,,5.0,44.234176808286705,-76.49814958610807
,,5.2,44.23417746855735,-76.49812806212614
,,5.4,44.23417814552065,-76.49810599398485
,,5.6,44.234178837625954,-76.49808343223371
,,5.8,44.23417954332644,-76.49806042729669
,,6.0,44.234180261098906,-76.49803702882888
,,6.2,44.23418098946089,-76.4980132851561
,,6.4,44.23418172698471,-76.49798924281905
,,6.6,44.23418247230784,-76.49796494623436
,,6.8,44.23418322413963,-76.49794043747583
,,7.0,44.23418398126446,-76.49791575617095
,,7.2,44.234184742541714,-76.49789093950204
,,7.4,44.23418550690299,-76.49786602229814
,,7.6,44.23418627334695,-76.49784103720144
,,7.8,44.23418704093242,-76.49781601489305
,,8.0,44.23418780877007,-76.49779098436356
,,8.2,44.23418857601315,-76.49776597321646
,,8.4,44.23418934184743,-76.49774100799453
,,8.6,44.23419010548073,-76.49771611452205
,,8.8,44.23419086613205,-76.49769131825767
,,9.0,44.23419162302062,-76.49766664465473
,,9.2,44.23419237535454,-76.4976421195274
,,9.4,44.234193122319496,-76.49761776942127
,,9.6,44.23419386306725,-76.49759362198814
,,9.8,44.234194596704036,-76.49756970636341
,,10.0,44.23419532227899,-76.49754605354403
,,10.2,44.23419603877269,-76.4975226967623
,,10.4,44.234196745086,-76.497499671848
,,10.6,44.23419744002978,-76.4974770175662
,,10.8,44.234198122315746,-76.49745477591289
,,11.0,44.23419879054954,-76.49743299234228
,,11.2,44.23419944322692,-76.49741171589123
,,11.4,44.234200078734425,-76.49739099915617
,,11.6,44.234200695356286,-76.49737089806898
,,11.8,44.23420129128932,-76.4973514714113
,,12.0,44.23420186466771,-76.49733278000616
,,12.2,44.23419333979399,-76.49732655324146
,,12.4,44.23420710271091,-76.49732272412312
,,12.6,44.23421984314575,-76.49732629014814
,,12.8,44.23423253775,-76.49732984334526
,,13.0,44.23424510012669,-76.49733335953212
,,13.2,44.234257443171344,-76.49733681432834
,,13.4,44.234269480656884,-76.49734018359909
,,13.6,44.234281424195125,-76.49734260230912
,,13.8,44.234293818126595,-76.49734479277312
,,14.0,44.234306796917195,-76.49734708660328
,,14.2,44.234320335079126,-76.49734947929494
,,14.4,44.23433440473513,-76.49735196592118
,,14.6,44.234348975900744,-76.49735454118263
,,14.8,44.23436401685026,-76.49735719947219
,,15.0,44.23437949454988,-76.49735993495158
,,15.2,44.23439537513621,-76.49736274163588
,,15.4,44.234411624414115,-76.49736561348155
,,15.6,44.23442820834726,-76.49736854447313
,,15.8,44.234445093516484,-76.49737152870422
,,16.0,44.23446224752485,-76.49737456044907
,,16.2,44.234479639334566,-76.49737763422219
,,16.4,44.23449723952671,-76.49738074482416
,,16.6,44.23451502048171,-76.49738388737356
,,16.8,44.234532956483335,-76.49738705732543
,,17.0,44.23455102375355,-76.49739025047728
,,17.2,44.23456920042785,-76.49739346296487
,,17.4,44.23458746648214,-76.49739669124918
,,17.6,44.23460580362239,-76.497399932097
,,17.8,44.234624195147205,-76.49740318255658
,,18.0,44.23464262579257,-76.4974064399302
,,18.2,44.23466108156595,-76.49740970174487
,,18.4,44.23467954957587,-76.49741296572218
,,18.6,44.23469734001795,-76.49742370148827
,,18.8,44.23471579737831,-76.49742696358341
,,19.0,44.23473393592809,-76.49743016933299
